EventID,BeachName,LocationID,Date,SumOfCreelNPeople,SumOfCreelNDiggers,SumOfCreelNClams,SumOfCreelNLanterns,AvgOfCreelNCars
16,"Mocrocks","41400","2008-05-24 00:00:00",12,12,180,,
16,"Mocrocks","42500","2008-05-24 00:00:00",7,7,105,,
16,"Mocrocks","42600","2008-05-24 00:00:00",18,18,270,,
17,"Copalis","3013","2007-10-26 00:00:00",2,2,30,,
17,"Copalis","31002","2007-10-26 00:00:00",2,2,30,,
17,"Copalis","31005","2007-10-26 00:00:00",21,20,300,,
17,"Copalis","32007","2007-10-26 00:00:00",9,8,120,,
17,"Copalis","32009","2007-10-26 00:00:00",6,6,90,,
17,"Copalis","33012","2007-10-26 00:00:00",24,24,360,,
18,"Copalis","31005","2007-10-27 00:00:00",21,21,304,,
18,"Copalis","32007","2007-10-27 00:00:00",28,27,405,,
18,"Copalis","32009","2007-10-27 00:00:00",15,14,210,,
18,"Copalis","33012","2007-10-27 00:00:00",10,10,150,,
21,"Copalis","31002","2007-12-21 00:00:00",7,7,105,,
21,"Copalis","31005","2007-12-21 00:00:00",26,24,360,,
21,"Copalis","32007","2007-12-21 00:00:00",33,32,450,,
21,"Copalis","32009","2007-12-21 00:00:00",43,42,630,,
21,"Copalis","33012","2007-12-21 00:00:00",6,6,90,,
22,"Copalis","22307","2007-12-22 00:00:00",17,17,240,,2
22,"Copalis","31005","2007-12-22 00:00:00",11,11,165,,
22,"Copalis","32007","2007-12-22 00:00:00",14,14,210,,
22,"Copalis","32009","2007-12-22 00:00:00",22,22,330,,
22,"Copalis","33012","2007-12-22 00:00:00",20,19,285,,
23,"Copalis","31005","2008-01-19 00:00:00",15,15,207,,
23,"Copalis","32007","2008-01-19 00:00:00",19,18,270,,
23,"Copalis","32009","2008-01-19 00:00:00",27,24,360,,
23,"Copalis","33012","2008-01-19 00:00:00",25,25,375,,
24,"Copalis","31005","2008-01-20 00:00:00",25,25,375,,
24,"Copalis","32007","2008-01-20 00:00:00",45,34,501,,
24,"Copalis","32009","2008-01-20 00:00:00",27,27,405,,
24,"Copalis","33012","2008-01-20 00:00:00",27,25,375,,
24,"Copalis","33013","2008-01-20 00:00:00",2,2,30,,
25,"Copalis","31005","2008-04-19 00:00:00",25,22,263,,
25,"Copalis","32007","2008-04-19 00:00:00",8,8,120,,
25,"Copalis","32009","2008-04-19 00:00:00",10,10,122,,
25,"Copalis","33012","2008-04-19 00:00:00",23,21,225,,
26,"Copalis","31005","2008-04-20 00:00:00",22,22,330,,
26,"Copalis","32007","2008-04-20 00:00:00",17,17,255,,
26,"Copalis","32009","2008-04-20 00:00:00",12,12,180,,
26,"Copalis","33012","2008-04-20 00:00:00",19,19,325,,
27,"Copalis","31002","2008-05-04 00:00:00",2,2,30,,
27,"Copalis","31005","2008-05-04 00:00:00",26,26,390,,
27,"Copalis","32007","2008-05-04 00:00:00",31,31,465,,
27,"Copalis","32009","2008-05-04 00:00:00",36,35,525,,
27,"Copalis","33012","2008-05-04 00:00:00",24,24,360,,
28,"Copalis","31005","2008-05-05 00:00:00",18,18,270,,
28,"Copalis","32007","2008-05-05 00:00:00",4,4,60,,
28,"Copalis","32009","2008-05-05 00:00:00",6,6,90,,
28,"Copalis","33012","2008-05-05 00:00:00",10,10,150,,
29,"Copalis","31005","2008-05-24 00:00:00",7,7,105,,
29,"Copalis","32007","2008-05-24 00:00:00",10,10,150,,
29,"Copalis","32009","2008-05-24 00:00:00",5,5,75,,
29,"Copalis","33012","2008-05-24 00:00:00",9,9,127,,
30,"Twin Harbors","21100","2007-10-25 00:00:00",2,2,30,,
30,"Twin Harbors","21200","2007-10-25 00:00:00",26,26,360,,
30,"Twin Harbors","22307","2007-10-25 00:00:00",20,20,300,,
30,"Twin Harbors","22309","2007-10-25 00:00:00",19,19,285,,
31,"Twin Harbors","21200","2007-10-26 00:00:00",21,21,315,,
31,"Twin Harbors","22307","2007-10-26 00:00:00",3,3,45,,
31,"Twin Harbors","22309","2007-10-26 00:00:00",12,11,168,,
32,"Twin Harbors","21100","2007-10-27 00:00:00",8,8,120,,
32,"Twin Harbors","21200","2007-10-27 00:00:00",14,14,210,,
32,"Twin Harbors","22307","2007-10-27 00:00:00",9,9,135,,
32,"Twin Harbors","22309","2007-10-27 00:00:00",19,19,285,,
33,"Twin Harbors","21200","2007-10-28 00:00:00",5,5,54,,
33,"Twin Harbors","22307","2007-10-28 00:00:00",30,27,336,10,
33,"Twin Harbors","22309","2007-10-28 00:00:00",20,16,230,8,
34,"Twin Harbors","21100","2007-11-23 00:00:00",7,7,105,,
34,"Twin Harbors","21200","2007-11-23 00:00:00",56,51,765,,
34,"Twin Harbors","22307","2007-11-23 00:00:00",22,21,315,,
34,"Twin Harbors","22309","2007-11-23 00:00:00",24,24,363,,
38,"Twin Harbors","21200","2007-12-21 00:00:00",12,12,152,,
38,"Twin Harbors","22307","2007-12-21 00:00:00",7,6,84,,
38,"Twin Harbors","22309","2007-12-21 00:00:00",15,13,195,,
39,"Twin Harbors","21200","2007-12-23 00:00:00",17,17,58,,
39,"Twin Harbors","22307","2007-12-23 00:00:00",9,7,28,,
39,"Twin Harbors","22309","2007-12-23 00:00:00",8,8,28,,
40,"Twin Harbors","21200","2008-01-18 00:00:00",12,12,180,,
40,"Twin Harbors","22307","2008-01-18 00:00:00",12,12,157,,
40,"Twin Harbors","22309","2008-01-18 00:00:00",12,12,180,,
41,"Twin Harbors","21200","2008-01-19 00:00:00",29,27,361,,
41,"Twin Harbors","22307","2008-01-19 00:00:00",12,11,72,,
41,"Twin Harbors","22309","2008-01-19 00:00:00",24,23,265,,
42,"Twin Harbors","21200","2008-01-20 00:00:00",20,20,281,,
42,"Twin Harbors","22307","2008-01-20 00:00:00",16,14,172,,
42,"Twin Harbors","22309","2008-01-20 00:00:00",23,22,231,,
43,"Twin Harbors","21200","2008-01-21 00:00:00",24,24,360,,
43,"Twin Harbors","22307","2008-01-21 00:00:00",13,12,136,,
43,"Twin Harbors","22309","2008-01-21 00:00:00",21,21,302,,
44,"Twin Harbors","21100","2008-02-06 00:00:00",1,1,0,,
44,"Twin Harbors","21200","2008-02-06 00:00:00",2,2,0,,
44,"Twin Harbors","22307","2008-02-06 00:00:00",1,1,0,,
44,"Twin Harbors","22309","2008-02-06 00:00:00",9,9,37,,
45,"Twin Harbors","21200","2008-02-07 00:00:00",13,13,39,,
45,"Twin Harbors","22307","2008-02-07 00:00:00",4,4,1,,
45,"Twin Harbors","22309","2008-02-07 00:00:00",7,6,45,,
46,"Mocrocks","41100","2006-10-06 00:00:00",2,2,30,,
46,"Mocrocks","41200","2006-10-06 00:00:00",15,15,245,,
46,"Mocrocks","41300","2006-10-06 00:00:00",23,22,330,,
46,"Mocrocks","41400","2006-10-06 00:00:00",25,25,375,,
46,"Mocrocks","42500","2006-10-06 00:00:00",18,18,270,,
46,"Mocrocks","42600","2006-10-06 00:00:00",27,27,405,,
47,"Copalis","31005","2006-10-06 00:00:00",10,10,150,,
47,"Copalis","32007","2006-10-06 00:00:00",23,23,251,,
47,"Copalis","32009","2006-10-06 00:00:00",12,11,162,,
47,"Copalis","33012","2006-10-06 00:00:00",18,18,192,,
47,"Copalis","33013","2006-10-06 00:00:00",2,2,30,,
48,"Twin Harbors","21100","2006-10-06 00:00:00",4,4,60,,
48,"Twin Harbors","21200","2006-10-06 00:00:00",24,24,351,,
48,"Twin Harbors","22307","2006-10-06 00:00:00",12,12,149,,
48,"Twin Harbors","22309","2006-10-06 00:00:00",28,28,420,,
49,"Mocrocks","41100","2006-10-07 00:00:00",10,10,150,,
49,"Mocrocks","41200","2006-10-07 00:00:00",9,8,120,,
49,"Mocrocks","41300","2006-10-07 00:00:00",28,26,390,,
49,"Mocrocks","41400","2006-10-07 00:00:00",14,13,195,,
49,"Mocrocks","42500","2006-10-07 00:00:00",6,5,75,,
49,"Mocrocks","42600","2006-10-07 00:00:00",5,5,75,,
50,"Copalis","31002","2006-10-07 00:00:00",2,2,30,,
50,"Copalis","31005","2006-10-07 00:00:00",41,39,585,,
50,"Copalis","32007","2006-10-07 00:00:00",18,16,240,,
50,"Copalis","32009","2006-10-07 00:00:00",16,16,240,,
50,"Copalis","33012","2006-10-07 00:00:00",32,28,420,,
51,"Mocrocks","41200","2006-10-08 00:00:00",1,1,15,,
51,"Mocrocks","41300","2006-10-08 00:00:00",25,25,375,,
51,"Mocrocks","41400","2006-10-08 00:00:00",12,12,180,,
51,"Mocrocks","42500","2006-10-08 00:00:00",9,8,120,,
51,"Mocrocks","42600","2006-10-08 00:00:00",21,21,316,,
52,"Copalis","31005","2006-10-08 00:00:00",12,12,137,,
52,"Copalis","32007","2006-10-08 00:00:00",7,7,58,,
52,"Copalis","32009","2006-10-08 00:00:00",21,21,275,,
52,"Copalis","33012","2006-10-08 00:00:00",12,12,171,,
53,"Copalis","31005","2007-03-17 00:00:00",21,21,294,,
53,"Copalis","32007","2007-03-17 00:00:00",10,10,150,,
53,"Copalis","32009","2007-03-17 00:00:00",14,14,210,,
53,"Copalis","33012","2007-03-17 00:00:00",23,22,331,,
54,"Mocrocks","41100","2006-11-03 00:00:00",1,1,15,,
54,"Mocrocks","41300","2006-11-03 00:00:00",21,21,282,,
54,"Mocrocks","41400","2006-11-03 00:00:00",7,7,105,,
54,"Mocrocks","42500","2006-11-03 00:00:00",10,10,105,,
54,"Mocrocks","42600","2006-11-03 00:00:00",11,11,165,,
55,"Mocrocks","41300","2006-11-04 00:00:00",18,14,193,,
55,"Mocrocks","41400","2006-11-04 00:00:00",11,11,145,,
55,"Mocrocks","42500","2006-11-04 00:00:00",6,5,49,,
55,"Mocrocks","42600","2006-11-04 00:00:00",10,9,135,,
56,"Mocrocks","41300","2006-11-05 00:00:00",23,21,303,,
56,"Mocrocks","41400","2006-11-05 00:00:00",6,5,70,,
56,"Mocrocks","42500","2006-11-05 00:00:00",6,6,90,,
56,"Mocrocks","42600","2006-11-05 00:00:00",10,10,136,,
57,"Mocrocks","41100","2006-12-02 00:00:00",3,3,45,,
57,"Mocrocks","41200","2006-12-02 00:00:00",9,9,135,,
57,"Mocrocks","41300","2006-12-02 00:00:00",17,15,226,,
57,"Mocrocks","41400","2006-12-02 00:00:00",19,19,286,,
57,"Mocrocks","42500","2006-12-02 00:00:00",2,2,30,,
57,"Mocrocks","42600","2006-12-02 00:00:00",15,15,225,,
58,"Kalaloch","Guard Rail","2011-01-21 00:00:00",31,31,28,,1.39
59,"Copalis","31005","2007-04-22 00:00:00",28,28,408,,
59,"Copalis","32007","2007-04-22 00:00:00",1,1,15,,
59,"Copalis","32009","2007-04-22 00:00:00",13,13,195,,
59,"Copalis","33012","2007-04-22 00:00:00",4,4,60,,
60,"Copalis","31005","2007-04-21 00:00:00",20,19,285,,
60,"Copalis","32007","2007-04-21 00:00:00",12,12,180,,
60,"Copalis","32009","2007-04-21 00:00:00",8,8,120,,
60,"Copalis","33012","2007-04-21 00:00:00",17,16,184,,
61,"Mocrocks","41100","2006-12-03 00:00:00",3,3,45,,
61,"Mocrocks","41200","2006-12-03 00:00:00",2,2,30,,
61,"Mocrocks","41300","2006-12-03 00:00:00",19,19,285,,
61,"Mocrocks","41400","2006-12-03 00:00:00",25,24,361,,
61,"Mocrocks","42500","2006-12-03 00:00:00",7,7,105,,
61,"Mocrocks","42600","2006-12-03 00:00:00",8,8,120,,
62,"Mocrocks","41100","2006-12-31 00:00:00",6,6,90,,
62,"Mocrocks","41200","2006-12-31 00:00:00",18,16,206,,
62,"Mocrocks","41300","2006-12-31 00:00:00",17,16,240,,
62,"Mocrocks","41400","2006-12-31 00:00:00",28,28,420,,
62,"Mocrocks","42500","2006-12-31 00:00:00",13,12,180,,
62,"Mocrocks","42600","2006-12-31 00:00:00",31,31,461,,
63,"Copalis","31005","2005-10-15 00:00:00",26,26,375,,
63,"Copalis","32007","2005-10-15 00:00:00",22,19,285,,
63,"Copalis","32009","2005-10-15 00:00:00",16,16,239,,
63,"Copalis","33012","2005-10-15 00:00:00",20,20,299,,
63,"Copalis","33013","2005-10-15 00:00:00",5,5,60,,
64,"Copalis","31002","2005-10-16 00:00:00",1,1,15,,
64,"Copalis","31005","2005-10-16 00:00:00",21,21,314,,
64,"Copalis","32007","2005-10-16 00:00:00",18,16,240,,
64,"Copalis","32009","2005-10-16 00:00:00",26,25,370,,
64,"Copalis","33012","2005-10-16 00:00:00",32,31,351,,
64,"Copalis","33013","2005-10-16 00:00:00",5,5,75,,
65,"LongBeach","12400","2005-10-16 00:00:00",25,25,375,,
65,"LongBeach","12500","2005-10-16 00:00:00",29,29,435,,
65,"LongBeach","12600","2005-10-16 00:00:00",39,38,570,,
66,"LongBeach","12400","2005-10-15 00:00:00",40,35,524,,
66,"LongBeach","12500","2005-10-15 00:00:00",32,488,420,,
66,"LongBeach","12600","2005-10-15 00:00:00",31,31,450,,
67,"LongBeach","12400","2005-10-17 00:00:00",33,33,480,,
67,"LongBeach","12500","2005-10-17 00:00:00",34,34,510,,
67,"LongBeach","12600","2005-10-17 00:00:00",19,19,285,,
68,"LongBeach","12400","2003-09-28 00:00:00",23,23,344,12,
68,"LongBeach","12500","2003-09-28 00:00:00",12,12,180,6,
68,"LongBeach","12600","2003-09-28 00:00:00",29,28,420,14,
69,"Copalis","31005","2005-10-17 00:00:00",18,18,200,,
69,"Copalis","32007","2005-10-17 00:00:00",14,13,168,,
69,"Copalis","32009","2005-10-17 00:00:00",17,16,120,,
69,"Copalis","33012","2005-10-17 00:00:00",23,22,142,,
70,"Twin Harbors","21100","2005-10-15 00:00:00",25,25,345,,
70,"Twin Harbors","21200","2005-10-15 00:00:00",23,21,147,,
70,"Twin Harbors","22307","2005-10-15 00:00:00",17,16,193,,
70,"Twin Harbors","22309","2005-10-15 00:00:00",14,13,195,,
71,"Twin Harbors","21100","2005-10-16 00:00:00",7,6,54,,
71,"Twin Harbors","21200","2005-10-16 00:00:00",17,14,188,,
71,"Twin Harbors","22307","2005-10-16 00:00:00",10,9,117,,
71,"Twin Harbors","22309","2005-10-16 00:00:00",13,13,133,,
72,"Twin Harbors","21100","2005-10-17 00:00:00",9,9,91,,
72,"Twin Harbors","21200","2005-10-17 00:00:00",18,18,82,,
72,"Twin Harbors","22307","2005-10-17 00:00:00",15,13,123,,
72,"Twin Harbors","22309","2005-10-17 00:00:00",12,11,158,,
73,"Twin Harbors","21100","2005-10-18 00:00:00",12,12,180,,
73,"Twin Harbors","21200","2005-10-18 00:00:00",7,7,105,,
73,"Twin Harbors","22307","2005-10-18 00:00:00",15,15,218,,
73,"Twin Harbors","22309","2005-10-18 00:00:00",14,13,182,,
74,"Mocrocks","41300","2005-10-15 00:00:00",26,26,390,,
74,"Mocrocks","41400","2005-10-15 00:00:00",40,40,597,,
74,"Mocrocks","42500","2005-10-15 00:00:00",11,11,165,,
74,"Mocrocks","42600","2005-10-15 00:00:00",36,35,525,,
75,"Mocrocks","41300","2005-10-17 00:00:00",17,17,255,,
75,"Mocrocks","41400","2005-10-17 00:00:00",21,21,315,,
75,"Mocrocks","42500","2005-10-17 00:00:00",4,4,60,,
75,"Mocrocks","42600","2005-10-17 00:00:00",12,12,144,,
76,"Mocrocks","41100","2005-10-16 00:00:00",5,5,75,,
76,"Mocrocks","41200","2005-10-16 00:00:00",2,2,30,,
76,"Mocrocks","41300","2005-10-16 00:00:00",23,20,276,,
76,"Mocrocks","41400","2005-10-16 00:00:00",16,16,222,,
76,"Mocrocks","42500","2005-10-16 00:00:00",12,12,180,,
76,"Mocrocks","42600","2005-10-16 00:00:00",9,9,136,,
77,"Mocrocks","41100","2005-10-18 00:00:00",4,4,60,,
77,"Mocrocks","41200","2005-10-18 00:00:00",10,10,150,,
77,"Mocrocks","41300","2005-10-18 00:00:00",17,17,255,,
77,"Mocrocks","41400","2005-10-18 00:00:00",19,19,285,,
77,"Mocrocks","42500","2005-10-18 00:00:00",8,8,120,,
77,"Mocrocks","42600","2005-10-18 00:00:00",2,2,30,,
78,"Twin Harbors","21200","2007-11-25 00:00:00",20,20,300,,
78,"Twin Harbors","22307","2007-11-25 00:00:00",12,11,159,,
78,"Twin Harbors","22309","2007-11-25 00:00:00",18,17,187,,
79,"Twin Harbors","21100","2007-11-24 00:00:00",2,2,0,,
79,"Twin Harbors","21200","2007-11-24 00:00:00",33,33,343,,
79,"Twin Harbors","22307","2007-11-24 00:00:00",14,14,147,,
79,"Twin Harbors","22309","2007-11-24 00:00:00",19,19,222,,
80,"Twin Harbors","21100","2007-11-23 00:00:00",7,7,105,,
80,"Twin Harbors","21200","2007-11-23 00:00:00",63,58,870,,
80,"Twin Harbors","22307","2007-11-23 00:00:00",22,21,315,,
80,"Twin Harbors","22309","2007-11-23 00:00:00",24,24,360,,
81,"Copalis","31005","2007-11-24 00:00:00",22,21,315,,
81,"Copalis","32007","2007-11-24 00:00:00",10,10,125,,
81,"Copalis","32009","2007-11-24 00:00:00",24,18,235,,
81,"Copalis","33012","2007-11-24 00:00:00",29,29,422,,
82,"Copalis","31002","2007-11-23 00:00:00",8,8,120,,
82,"Copalis","31005","2007-11-23 00:00:00",21,21,315,,
82,"Copalis","32007","2007-11-23 00:00:00",4,4,60,,
82,"Copalis","32009","2007-11-23 00:00:00",18,16,240,,
82,"Copalis","33012","2007-11-23 00:00:00",23,23,345,,
85,"LongBeach","12400","2007-11-23 00:00:00",18,18,271,,
85,"LongBeach","12500","2007-11-23 00:00:00",31,30,450,,
85,"LongBeach","12600","2007-11-23 00:00:00",33,33,495,,
86,"LongBeach","12400","2007-11-24 00:00:00",19,19,251,,
86,"LongBeach","12500","2007-11-24 00:00:00",26,26,360,,
86,"LongBeach","12600","2007-11-24 00:00:00",7,7,105,,
87,"Twin Harbors","21200","2007-11-26 00:00:00",1,1,11,1,
87,"Twin Harbors","22307","2007-11-26 00:00:00",7,7,50,4,
87,"Twin Harbors","22309","2007-11-26 00:00:00",7,7,60,4,
89,"Mocrocks","41100","2008-10-16 00:00:00",2,2,30,3,
89,"Mocrocks","41200","2008-10-16 00:00:00",3,3,45,2,
89,"Mocrocks","41300","2008-10-16 00:00:00",10,10,150,10,
89,"Mocrocks","41400","2008-10-16 00:00:00",13,13,195,14,
89,"Mocrocks","42500","2008-10-16 00:00:00",14,14,210,9,
89,"Mocrocks","42600","2008-10-16 00:00:00",23,23,338,15,
90,"Twin Harbors","21200","2008-10-17 00:00:00",15,15,210,8,
90,"Twin Harbors","22307","2008-10-17 00:00:00",12,12,180,7,
90,"Twin Harbors","22309","2008-10-17 00:00:00",9,9,135,8,
91,"Mocrocks","41300","2008-10-17 00:00:00",15,15,225,10,
91,"Mocrocks","41400","2008-10-17 00:00:00",29,26,390,17,
91,"Mocrocks","42500","2008-10-17 00:00:00",18,18,270,11,
91,"Mocrocks","42600","2008-10-17 00:00:00",21,21,315,16,
96,"Mocrocks","41100","2008-11-13 00:00:00",1,1,15,,
96,"Mocrocks","41200","2008-11-13 00:00:00",2,2,15,,
96,"Mocrocks","41300","2008-11-13 00:00:00",25,24,360,,
96,"Mocrocks","42500","2008-11-13 00:00:00",1,1,15,,
96,"Mocrocks","42600","2008-11-13 00:00:00",20,19,285,,
97,"Mocrocks","41200","2008-11-14 00:00:00",6,6,90,4,
97,"Mocrocks","41300","2008-11-14 00:00:00",1,1,15,1,
97,"Mocrocks","41400","2008-11-14 00:00:00",19,19,285,16,
97,"Mocrocks","42500","2008-11-14 00:00:00",19,18,241,15,
97,"Mocrocks","42600","2008-11-14 00:00:00",12,11,157,11,
100,"Twin Harbors","21200","2008-11-14 00:00:00",27,21,228,,
100,"Twin Harbors","22307","2008-11-14 00:00:00",16,16,240,,
100,"Twin Harbors","22309","2008-11-14 00:00:00",21,21,301,,
102,"Twin Harbors","21200","2008-11-15 00:00:00",15,14,210,11,
102,"Twin Harbors","22307","2008-11-15 00:00:00",20,20,275,12,
102,"Twin Harbors","22309","2008-11-15 00:00:00",16,14,182,13,
103,"Mocrocks","41100","2008-11-15 00:00:00",14,14,210,6,
103,"Mocrocks","41200","2008-11-15 00:00:00",6,6,57,4,
103,"Mocrocks","41300","2008-11-15 00:00:00",2,2,30,2,
103,"Mocrocks","41400","2008-11-15 00:00:00",12,12,180,10,
103,"Mocrocks","42500","2008-11-15 00:00:00",11,11,165,9,
103,"Mocrocks","42600","2008-11-15 00:00:00",25,22,330,10,
104,"Mocrocks","41300","2008-11-16 00:00:00",14,14,210,10,
104,"Mocrocks","42600","2008-11-16 00:00:00",8,8,120,7,
106,"LongBeach","12400","2008-11-15 00:00:00",19,19,156,,3.5
106,"LongBeach","12500","2008-11-15 00:00:00",35,33,368,,2.692307692307693
106,"LongBeach","12600","2008-11-15 00:00:00",37,36,509,,3.636363636363636
107,"LongBeach","12400","2008-11-14 00:00:00",18,17,221,,2.428571428571428
107,"LongBeach","12500","2008-11-14 00:00:00",35,35,522,,2.615384615384615
107,"LongBeach","12600","2008-11-14 00:00:00",35,34,510,,2.916666666666667
109,"Mocrocks","41300","2008-12-11 00:00:00",21,18,270,,
109,"Mocrocks","41400","2008-12-11 00:00:00",13,13,195,,
109,"Mocrocks","42500","2008-12-11 00:00:00",6,3,45,,
109,"Mocrocks","42600","2008-12-11 00:00:00",9,9,125,,
113,"Mocrocks","41200","2008-12-13 00:00:00",2,2,30,,1
113,"Mocrocks","41400","2008-12-13 00:00:00",34,34,415,,2.25
113,"Mocrocks","42500","2008-12-13 00:00:00",4,4,57,,2.5
113,"Mocrocks","42600","2008-12-13 00:00:00",4,4,60,,2
114,"LongBeach","12400","2008-12-12 00:00:00",5,0,0,,
114,"LongBeach","12500","2008-12-12 00:00:00",3,2,3,,
114,"LongBeach","12600","2008-12-12 00:00:00",5,3,15,,
115,"LongBeach","12400","2008-12-13 00:00:00",2,1,8,,4
115,"LongBeach","12500","2008-12-13 00:00:00",13,13,106,,3.25
115,"LongBeach","12600","2008-12-13 00:00:00",9,8,27,,3.5
116,"Twin Harbors","21200","2008-12-13 00:00:00",15,14,177,3,2.5
116,"Twin Harbors","22307","2008-12-13 00:00:00",6,6,90,,2
116,"Twin Harbors","22309","2008-12-13 00:00:00",13,13,167,12,1.5
117,"Twin Harbors","21200","2009-01-09 00:00:00",5,5,75,,
117,"Twin Harbors","22307","2009-01-09 00:00:00",18,17,255,,
117,"Twin Harbors","22309","2009-01-09 00:00:00",15,12,162,,
118,"Mocrocks","41100","2009-01-09 00:00:00",3,3,45,,
118,"Mocrocks","41200","2009-01-09 00:00:00",5,5,75,,
